customer,cust_degree,cust_pagerank,cust_community,merchant,mer_degree,mer_pagerank,mer_community
C1019678929,12,0.15,5,M732195782,402,4.0015795,35
C1020019215,9,0.15,7,M78078399,995,10.977742,44
C102010508,12,0.15,42,M840466850,1131,12.425564,10
C1020192133,14,0.15,43,M855959430,2931,33.661556,13
C1020355960,7,0.15,5,M857378720,106,1.120088,19
C1021409246,12,0.15,42,M85975013,3442,39.8514685,5
C1021896897,12,0.15,7,M923029380,283,2.8721165,30
C1022153336,14,0.15,42,M933210764,54,0.727966,48
C1022530210,16,0.15,5,M97925176,423,4.6518465,29
C102256008,15,0.15,42,M980657600,795,8.261244,22
C1022713215,14,0.15,44,,,,
C102364766,12,0.15,5,,,,
C1023694383,14,0.15,40,,,,
C1023803355,9,0.15,44,,,,
C1025104996,9,0.15,42,,,,
C10263180,11,0.15,42,,,,
C1027777422,11,0.15,43,,,,
C1028143403,11,0.15,42,,,,
C1028995887,16,0.15,40,,,,
C1029994689,11,0.15,42,,,,
C1030484150,13,0.15,40,,,,
C1030975170,14,0.15,42,,,,
C1031698099,11,0.15,42,,,,
C1032319289,15,0.15,42,,,,
C103240070,19,0.15,43,,,,
C1032715879,9,0.15,5,,,,
C1033416330,12,0.15,5,,,,
C1033736586,13,0.15,40,,,,
C1033848759,10,0.15,40,,,,
C1034685704,14,0.15,42,,,,
C1035154937,13,0.15,38,,,,
C1035222482,10,0.15,42,,,,
C1035581047,10,0.15,42,,,,
C1035666255,9,0.15,43,,,,
C1035681921,10,0.15,43,,,,
C1036903280,19,0.15,42,,,,
C1037161656,12,0.15,44,,,,
C1037622786,6,0.15,46,,,,
C1038215695,18,0.15,42,,,,
C1038277619,14,0.15,5,,,,
C1038329920,9,0.15,5,,,,
C1038722314,14,0.15,44,,,,
C1038733568,11,0.15,42,,,,
C1038879380,12,0.15,43,,,,
C1038996959,8,0.15,40,,,,
C1039035065,13,0.15,40,,,,
C1039390058,7,0.15,43,,,,
C1039748502,12,0.15,42,,,,
C103995111,10,0.15,41,,,,
C1040272582,13,0.15,43,,,,
C1040303644,10,0.15,5,,,,
C1040405455,14,0.15,42,,,,
C1040980271,9,0.15,42,,,,
C1043282651,11,0.15,5,,,,
C1043677034,12,0.15,44,,,,
C104392148,10,0.15,42,,,,
C1043944424,12,0.15,5,,,,
C1045214627,10,0.15,42,,,,
C1045324088,21,0.15,42,,,,
C1045652139,13,0.15,42,,,,
C1045850211,15,0.15,5,,,,
C1046896257,17,0.15,44,,,,
C1047374909,11,0.15,40,,,,
C1047521541,11,0.15,44,,,,
C1048588440,7,0.15,42,,,,
C1048694975,10,0.15,5,,,,
C1049562739,12,0.15,5,,,,
C1049957303,10,0.15,40,,,,
C105013970,18,0.15,40,,,,
C1050458046,15,0.15,42,,,,
C1050663079,10,0.15,43,,,,
C1050807234,8,0.15,44,,,,
C1051356798,14,0.15,42,,,,
C1051682954,8,0.15,42,,,,
C1051712338,15,0.15,44,,,,
C1051985937,10,0.15,7,,,,
C1053477622,12,0.15,42,,,,
C1054818236,15,0.15,42,,,,
C1055164842,10,0.15,43,,,,
C1055224400,17,0.15,42,,,,
C1056476734,11,0.15,42,,,,
C1056640661,8,0.15,5,,,,
C1057259459,15,0.15,42,,,,
C1057285507,11,0.15,40,,,,
C1057813963,16,0.15,42,,,,
C1058213633,14,0.15,43,,,,
C105845174,10,0.15,44,,,,
C1058652489,8,0.15,5,,,,
C1058785965,13,0.15,42,,,,
C1059534096,9,0.15,5,,,,
C1059874896,9,0.15,5,,,,
C1060018471,12,0.15,42,,,,
C1060120913,9,0.15,5,,,,
C1060270098,14,0.15,44,,,,
C1060470494,5,0.15,42,,,,
C106333716,11,0.15,42,,,,
C1063753312,10,0.15,42,,,,
C106397937,11,0.15,44,,,,
C1065812935,8,0.15,7,,,,
C1066003783,6,0.15,3,,,,
C1066456457,6,0.15,5,,,,
C1067134113,14,0.15,42,,,,
C1067165398,8,0.15,5,,,,
C1067668919,7,0.15,5,,,,
C1067734462,15,0.15,40,,,,
C1068772542,11,0.15,41,,,,
C106931168,14,0.15,5,,,,
C1069635670,14,0.15,5,,,,
C1069648311,11,0.15,40,,,,
C1070277785,12,0.15,44,,,,
C1070471979,10,0.15,43,,,,
C107125195,7,0.15,5,,,,
C1072166767,11,0.15,40,,,,
C1072577677,8,0.15,42,,,,
C1073067421,5,0.15,5,,,,
C1073155388,8,0.15,42,,,,
C1073865173,12,0.15,43,,,,
C1074203200,8,0.15,40,,,,
C107438779,12,0.15,43,,,,
C10745331,10,0.15,5,,,,
C1075692577,11,0.15,43,,,,
C1075787773,9,0.15,41,,,,
C1076053396,13,0.15,42,,,,
C1076110991,19,0.15,43,,,,
C1077245673,6,0.15,44,,,,
C1078316853,11,0.15,44,,,,
C1078351181,15,0.15,43,,,,
C1078596280,12,0.15,43,,,,
C1078619612,7,0.15,44,,,,
C1079254393,23,0.15,42,,,,
C1079965849,16,0.15,44,,,,
C1080032135,15,0.15,5,,,,
C1080719046,10,0.15,5,,,,
C1080813886,13,0.15,44,,,,
C1081618305,12,0.15,42,,,,
C1081944543,8,0.15,43,,,,
C1082301057,10,0.15,41,,,,
C1082462651,8,0.15,5,,,,
C1082594377,13,0.15,42,,,,
C1082608644,8,0.15,42,,,,
C108266856,13,0.15,42,,,,
C1082732879,11,0.15,44,,,,
C1082769360,12,0.15,44,,,,
C1083375349,11,0.15,42,,,,
C1083859927,10,0.15,42,,,,
C1084001812,17,0.15,42,,,,
C1084672760,9,0.15,42,,,,
C1085056650,13,0.15,5,,,,
C1085689043,13,0.15,44,,,,
C1086957388,10,0.15,5,,,,
C1087227796,13,0.15,43,,,,
C1087747329,13,0.15,43,,,,
C1087788850,6,0.15,5,,,,
C1087943403,10,0.15,42,,,,
C108794529,8,0.15,42,,,,
C1088464518,12,0.15,44,,,,
C1088768738,8,0.15,42,,,,
C1088853847,10,0.15,44,,,,
C108940648,10,0.15,42,,,,
C1089789227,11,0.15,42,,,,
C1089848865,12,0.15,42,,,,
C1089903335,10,0.15,43,,,,
C1090046399,10,0.15,42,,,,
C1090528803,11,0.15,40,,,,
C1090604904,10,0.15,42,,,,
C1091680547,10,0.15,43,,,,
C1091966081,11,0.15,42,,,,
C1092512638,11,0.15,42,,,,
C1092769857,17,0.15,40,,,,
C1093060677,8,0.15,5,,,,
C1093826151,7,0.15,44,,,,
C1093842718,12,0.15,42,,,,
C1095087737,11,0.15,44,,,,
C1095241409,10,0.15,43,,,,
C1095604325,10,0.15,42,,,,
C1095821033,9,0.15,43,,,,
C109617474,12,0.15,5,,,,
C109634232,11,0.15,44,,,,
C1096642744,12,0.15,42,,,,
C1097812196,13,0.15,42,,,,
C1098012335,14,0.15,42,,,,
C1098443227,15,0.15,42,,,,
C109947606,9,0.15,42,,,,
C1100053869,12,0.15,43,,,,
C1100276718,12,0.15,40,,,,
C1100289413,14,0.15,44,,,,
C1100337763,17,0.15,5,,,,
C1100361227,13,0.15,44,,,,
C1100510913,8,0.15,42,,,,
C1100570635,15,0.15,42,,,,
C1101213728,11,0.15,43,,,,
C1101433185,13,0.15,43,,,,
C1101633489,14,0.15,38,,,,
C1101722853,8,0.15,42,,,,
C1102156492,12,0.15,43,,,,
C1102464953,14,0.15,42,,,,
C1104044396,13,0.15,44,,,,
C1104967901,12,0.15,42,,,,
C1105086283,10,0.15,43,,,,
C1107442215,15,0.15,43,,,,
C1107580024,12,0.15,44,,,,
C1108226372,11,0.15,42,,,,
C1108787528,11,0.15,42,,,,
C1108967401,13,0.15,42,,,,
C1110919755,12,0.15,40,,,,
C11116138,13,0.15,42,,,,
C111217068,9,0.15,7,,,,
C1112424232,14,0.15,42,,,,
C1113166893,8,0.15,5,,,,
C1114643543,9,0.15,42,,,,
C1114685649,15,0.15,40,,,,
C1116417172,13,0.15,42,,,,
C111678629,12,0.15,42,,,,
C1117259261,8,0.15,3,,,,
C1117294574,10,0.15,42,,,,
C1117403153,7,0.15,38,,,,
C1118932469,11,0.15,5,,,,
C1118984324,11,0.15,42,,,,
C1120165888,7,0.15,3,,,,
C1121327223,8,0.15,40,,,,
C1122213892,11,0.15,42,,,,
C1122303126,14,0.15,7,,,,
C1122835446,11,0.15,40,,,,
C1123042802,10,0.15,42,,,,
C1123627503,9,0.15,42,,,,
C1124449361,8,0.15,20,,,,
C1124718683,10,0.15,3,,,,
C1125132707,16,0.15,40,,,,
C1125717761,13,0.15,43,,,,
C1125832994,11,0.15,43,,,,
C1126112663,14,0.15,44,,,,
C1126297464,8,0.15,42,,,,
C1127069069,16,0.15,44,,,,
C1127607634,8,0.15,5,,,,
C1127983201,8,0.15,42,,,,
C1128349548,14,0.15,43,,,,
C1128965136,10,0.15,42,,,,
C1129111658,18,0.15,42,,,,
C1129265408,13,0.15,40,,,,
C1129461636,10,0.15,40,,,,
C1129737137,14,0.15,42,,,,
C1130259702,7,0.15,44,,,,
C1130847219,9,0.15,5,,,,
C1131883667,4,0.15,7,,,,
C1132392725,17,0.15,42,,,,
C1132565589,12,0.15,42,,,,
C113294083,11,0.15,42,,,,
C1133298590,12,0.15,42,,,,
C1133386558,12,0.15,40,,,,
C1133451243,12,0.15,44,,,,
C1134229140,14,0.15,44,,,,
C1134333439,18,0.15,41,,,,
C1134533551,10,0.15,5,,,,
C1134994937,8,0.15,42,,,,
C1135201785,10,0.15,42,,,,
C1135495199,12,0.15,5,,,,
C1135867657,12,0.15,42,,,,
C1136643517,15,0.15,42,,,,
C1136761152,7,0.15,3,,,,
C1136859577,11,0.15,42,,,,
C1137292670,11,0.15,42,,,,
C1139909458,14,0.15,42,,,,
C1139944236,12,0.15,44,,,,
C1140073765,8,0.15,42,,,,
C1140809068,11,0.15,5,,,,
C1141481813,10,0.15,43,,,,
C1141524074,8,0.15,42,,,,
C1141582476,11,0.15,42,,,,
C1142118359,14,0.15,5,,,,
C1142956269,11,0.15,44,,,,
C1143297842,12,0.15,42,,,,
C1143300850,9,0.15,5,,,,
C1143401925,18,0.15,42,,,,
C114388565,12,0.15,44,,,,
C1145304322,5,0.15,44,,,,
C11453786,13,0.15,40,,,,
C1146143839,9,0.15,43,,,,
C1147125608,13,0.15,43,,,,
C1147973334,13,0.15,5,,,,
C1148364854,12,0.15,42,,,,
C1148635270,13,0.15,5,,,,
C1148771999,11,0.15,44,,,,
C1148772789,17,0.15,5,,,,
C1149179033,9,0.15,44,,,,
C1149495561,12,0.15,43,,,,
C114981535,9,0.15,43,,,,
C1149893807,10,0.15,42,,,,
C1150646122,11,0.15,42,,,,
C1151051721,7,0.15,40,,,,
C1151600429,9,0.15,20,,,,
C1151799720,11,0.15,42,,,,
C1152092987,11,0.15,45,,,,
C1152356495,10,0.15,43,,,,
C1152835627,11,0.15,43,,,,
C1153569753,10,0.15,42,,,,
C1153792315,12,0.15,3,,,,
C1153943594,14,0.15,42,,,,
C1154612561,9,0.15,43,,,,
C1154631581,11,0.15,44,,,,
C1155259690,16,0.15,40,,,,
C115540448,18,0.15,20,,,,
C1155962240,9,0.15,42,,,,
C115603187,10,0.15,44,,,,
C1156188729,13,0.15,42,,,,
C1156346576,10,0.15,44,,,,
C1156399058,8,0.15,7,,,,
C1156509589,7,0.15,5,,,,
C1156672988,8,0.15,40,,,,
C1156745710,5,0.15,3,,,,
C1156808163,16,0.15,43,,,,
C1156885344,11,0.15,40,,,,
C1158029630,15,0.15,42,,,,
C1158233054,3,0.15,9,,,,
C1158646143,9,0.15,5,,,,
C1158738757,10,0.15,42,,,,
C1158752013,10,0.15,44,,,,
C1158875335,10,0.15,44,,,,
C1159034982,13,0.15,45,,,,
C1159279360,12,0.15,42,,,,
C1159406873,11,0.15,5,,,,
C115986226,16,0.15,42,,,,
C1160118068,13,0.15,42,,,,
C1160421902,12,0.15,42,,,,
C1161671147,9,0.15,44,,,,
C1161927918,11,0.15,42,,,,
C1161949399,14,0.15,42,,,,
C1163388474,16,0.15,41,,,,
C1163635747,10,0.15,7,,,,
C1163804561,10,0.15,44,,,,
C116386695,9,0.15,5,,,,
C1164613439,10,0.15,42,,,,
C1165343027,18,0.15,36,,,,
C1165454845,9,0.15,43,,,,
C1166075201,12,0.15,44,,,,
C1166337448,13,0.15,44,,,,
C1166355595,15,0.15,40,,,,
C116665031,11,0.15,43,,,,
C1166683343,14,0.15,42,,,,
C11668910,15,0.15,42,,,,
C1167781928,11,0.15,42,,,,
C1169655012,7,0.15,5,,,,
C1169771418,10,0.15,42,,,,
C1170049298,13,0.15,43,,,,
C117112395,14,0.15,44,,,,
C1171394321,14,0.15,42,,,,
C1171622243,12,0.15,44,,,,
C1173530601,17,0.15,43,,,,
C1174105749,10,0.15,44,,,,
C1174217921,13,0.15,5,,,,
C1174416804,12,0.15,43,,,,
C1174735331,15,0.15,40,,,,
C1175419672,11,0.15,42,,,,
C1175684338,12,0.15,42,,,,
C117577408,6,0.15,1,,,,
C1175850429,24,0.15,41,,,,
C1176114065,11,0.15,42,,,,
C1177396126,8,0.15,42,,,,
C1177478758,10,0.15,43,,,,
C1177926954,10,0.15,44,,,,
C1178005728,14,0.15,42,,,,
C1178726445,12,0.15,42,,,,
C1179217322,13,0.15,43,,,,
C1179833140,11,0.15,5,,,,
C1180570487,13,0.15,40,,,,
C1180936672,14,0.15,42,,,,
C1181615831,18,0.15,5,,,,
C1182534509,12,0.15,43,,,,
C1182825160,12,0.15,5,,,,
C118437987,11,0.15,43,,,,
C1186894186,12,0.15,42,,,,
C1186953291,9,0.15,5,,,,
C1187353931,13,0.15,5,,,,
C1187702596,9,0.15,42,,,,
C1187730955,9,0.15,5,,,,
C1187799344,11,0.15,42,,,,
C1187979419,7,0.15,44,,,,
C118836015,12,0.15,43,,,,
C1188590334,13,0.15,5,,,,
C1189224644,14,0.15,40,,,,
C1189231170,9,0.15,5,,,,
C1189367947,10,0.15,44,,,,
C1189752912,12,0.15,42,,,,
C1190687128,14,0.15,41,,,,
C1191069340,14,0.15,5,,,,
C1191796691,11,0.15,42,,,,
C1191832390,10,0.15,5,,,,
C1192557067,16,0.15,42,,,,
C119274188,16,0.15,42,,,,
C1192754222,13,0.15,42,,,,
C1192874833,8,0.15,5,,,,
C1193034305,10,0.15,36,,,,
C1193582671,7,0.15,44,,,,
C1194290880,19,0.15,42,,,,
C1194320883,10,0.15,5,,,,
C119537158,13,0.15,42,,,,
C1195893546,17,0.15,40,,,,
C1196149230,9,0.15,42,,,,
C1196357413,12,0.15,5,,,,
C1196579721,10,0.15,44,,,,
C1196611038,6,0.15,6,,,,
C1196808546,11,0.15,42,,,,
C1196915447,10,0.15,40,,,,
C1197304790,14,0.15,42,,,,
C1199767081,13,0.15,44,,,,
C1199849921,9,0.15,42,,,,
C1200227736,12,0.15,42,,,,
C1200311106,15,0.15,42,,,,
C1200336063,11,0.15,43,,,,
C1200798307,10,0.15,42,,,,
C1201696181,7,0.15,44,,,,
C1201848792,9,0.15,5,,,,
C1202775726,14,0.15,42,,,,
C120279480,9,0.15,5,,,,
C1202857292,14,0.15,42,,,,
C1203244235,17,0.15,5,,,,
C1204046804,13,0.15,42,,,,
C1204610604,10,0.15,38,,,,
C1204740969,7,0.15,42,,,,
C1204780618,17,0.15,41,,,,
C1204835011,7,0.15,6,,,,
C1205257074,11,0.15,5,,,,
C1206604144,9,0.15,42,,,,
C120661238,13,0.15,42,,,,
C1207205377,9,0.15,42,,,,
C1207877529,11,0.15,5,,,,
C1207935724,14,0.15,5,,,,
C1208123566,11,0.15,42,,,,
C1208164294,6,0.15,41,,,,
C1209363182,8,0.15,42,,,,
C1209651258,10,0.15,42,,,,
C1209743372,12,0.15,42,,,,
C1209838312,9,0.15,5,,,,
C1210957250,13,0.15,42,,,,
C1211514218,22,0.15,42,,,,
C1212956427,11,0.15,44,,,,
C1213002113,10,0.15,42,,,,
C1213984358,19,0.15,5,,,,
C1214229415,9,0.15,5,,,,
C1214279601,15,0.15,42,,,,
C1214582637,13,0.15,44,,,,
C1214587699,11,0.15,40,,,,
C1214628974,15,0.15,40,,,,
C1214780453,9,0.15,42,,,,
C1214826221,10,0.15,42,,,,
C1214828746,14,0.15,44,,,,
C1214929092,20,0.15,41,,,,
C1214964999,10,0.15,5,,,,
C1215440829,13,0.15,44,,,,
C1215446912,9,0.15,40,,,,
C1215468370,6,0.15,5,,,,
C1216409727,15,0.15,42,,,,
C1216867117,10,0.15,42,,,,
C1216919532,10,0.15,44,,,,
C121713128,14,0.15,42,,,,
C121798652,11,0.15,43,,,,
C1221114448,10,0.15,42,,,,
C1222389110,14,0.15,43,,,,
C122290547,16,0.15,40,,,,
C1223439629,24,0.15,42,,,,
C1224153830,10,0.15,42,,,,
C1224222502,11,0.15,44,,,,
C1225533078,18,0.15,42,,,,
C1225568299,5,0.15,6,,,,
C1225704566,12,0.15,42,,,,
C1225717157,11,0.15,5,,,,
C1226558289,11,0.15,40,,,,
C1226947303,12,0.15,42,,,,
C1227773968,10,0.15,40,,,,
C1228110352,11,0.15,42,,,,
C1228152586,13,0.15,44,,,,
C1228157206,12,0.15,40,,,,
C12284077,9,0.15,42,,,,
C1229072215,14,0.15,40,,,,
C1229114783,8,0.15,5,,,,
C1229674572,11,0.15,42,,,,
C1230747575,12,0.15,42,,,,
C1231572628,14,0.15,42,,,,
C1232356156,11,0.15,40,,,,
C1232523772,10,0.15,44,,,,
C1232725180,11,0.15,3,,,,
C1233238493,12,0.15,43,,,,
C1233360048,11,0.15,3,,,,
C1233405214,11,0.15,15,,,,
C123366357,12,0.15,42,,,,
C1233802034,13,0.15,5,,,,
C1233811793,5,0.15,45,,,,
C1234264195,12,0.15,5,,,,
C1234470601,15,0.15,5,,,,
C1235359960,6,0.15,7,,,,
C123623130,11,0.15,44,,,,
C1236489588,14,0.15,42,,,,
C1236503001,9,0.15,42,,,,
C1236509536,9,0.15,5,,,,
C1236533874,13,0.15,42,,,,
C1237248073,16,0.15,44,,,,
C1237272991,13,0.15,5,,,,
C1237476993,19,0.15,41,,,,
C1237709469,11,0.15,44,,,,
C1238185596,8,0.15,42,,,,
C1238755034,15,0.15,44,,,,
C1238891395,8,0.15,5,,,,
C1239061472,12,0.15,44,,,,
C1239127666,12,0.15,7,,,,
C1239154010,14,0.15,42,,,,
C1239184141,7,0.15,44,,,,
C1240209240,11,0.15,42,,,,
C1240560903,14,0.15,46,,,,
C1240746302,13,0.15,40,,,,
C1242334684,9,0.15,5,,,,
C1242643189,8,0.15,5,,,,
C1242686524,15,0.15,42,,,,
C1242770016,18,0.15,5,,,,
C1245363669,12,0.15,44,,,,
C124539163,14,0.15,40,,,,
C1246760376,11,0.15,43,,,,
C1248026439,14,0.15,5,,,,
C1248053373,13,0.15,43,,,,
C1249070059,19,0.15,42,,,,
C1249352100,10,0.15,44,,,,
C1249817283,10,0.15,42,,,,
C125143024,10,0.15,42,,,,
C1251749294,10,0.15,42,,,,
C1253245889,14,0.15,43,,,,
C1253760419,11,0.15,5,,,,
C1254064510,9,0.15,43,,,,
C1254696728,12,0.15,43,,,,
C125481968,11,0.15,5,,,,
C1255149927,11,0.15,43,,,,
C1255221015,14,0.15,38,,,,
C1255231772,12,0.15,42,,,,
C1255236689,13,0.15,40,,,,
C1255643141,11,0.15,44,,,,
C1256072323,11,0.15,5,,,,
C1256073744,9,0.15,42,,,,
C1256908044,14,0.15,5,,,,
C1257820473,15,0.15,42,,,,
C1258211852,12,0.15,42,,,,
C1258454385,9,0.15,40,,,,
C1258725927,10,0.15,43,,,,
C1258953485,13,0.15,43,,,,
C1259046770,9,0.15,42,,,,
C1259389151,15,0.15,44,,,,
C1259760240,12,0.15,43,,,,
C1261640227,8,0.15,5,,,,
C1262879702,12,0.15,40,,,,
C1263107170,10,0.15,40,,,,
C1263267362,15,0.15,42,,,,
C1263461120,9,0.15,5,,,,
C1264224372,13,0.15,43,,,,
C1264836741,13,0.15,42,,,,
C126488680,9,0.15,42,,,,
C126603077,12,0.15,42,,,,
C12662072,10,0.15,5,,,,
C1266329800,11,0.15,44,,,,
C126638730,11,0.15,7,,,,
C1267365709,15,0.15,42,,,,
C1267410030,9,0.15,5,,,,
C1267444276,10,0.15,42,,,,
C1267749701,12,0.15,42,,,,
C1267913176,12,0.15,42,,,,
C1268275182,14,0.15,5,,,,
C1269217373,22,0.15,42,,,,
C1269288419,11,0.15,43,,,,
C1269635185,10,0.15,40,,,,
C1271484467,8,0.15,7,,,,
C1271627744,18,0.15,41,,,,
C1272188168,10,0.15,5,,,,
C1272326382,15,0.15,42,,,,
C1273015960,12,0.15,42,,,,
C1273110804,11,0.15,43,,,,
C1273564839,8,0.15,42,,,,
C1273692645,18,0.15,5,,,,
C1273885837,9,0.15,43,,,,
C1274818444,6,0.15,44,,,,
C1275053057,11,0.15,42,,,,
C1275518867,27,0.15,41,,,,
C1275741147,6,0.15,5,,,,
C1276892406,10,0.15,44,,,,
C1278181986,7,0.15,44,,,,
C1279143519,8,0.15,5,,,,
C1279668658,7,0.15,5,,,,
C1279785305,11,0.15,5,,,,
C128008012,13,0.15,43,,,,
C1280960686,12,0.15,43,,,,
C1281345721,9,0.15,7,,,,
C1282114843,13,0.15,43,,,,
C1282333137,17,0.15,44,,,,
C1282628311,14,0.15,44,,,,
C1283110336,16,0.15,20,,,,
C1283534588,10,0.15,44,,,,
C1284214182,11,0.15,43,,,,
C1284327050,10,0.15,41,,,,
C1284515419,10,0.15,42,,,,
C1285086629,10,0.15,7,,,,
C1287167517,10,0.15,42,,,,
C128812892,13,0.15,43,,,,
C1288983259,8,0.15,5,,,,
C1289081546,9,0.15,5,,,,
C1289219178,16,0.15,43,,,,
C1289834917,14,0.15,7,,,,
C1289997724,14,0.15,44,,,,
C1290093162,11,0.15,42,,,,
C1290724680,12,0.15,5,,,,
C1292140369,5,0.15,44,,,,
C1292770722,11,0.15,42,,,,
C1293338142,13,0.15,40,,,,
C1293338653,12,0.15,44,,,,
C1293579037,13,0.15,43,,,,
C129386345,11,0.15,43,,,,
C1294166760,17,0.15,42,,,,
C1295444668,10,0.15,43,,,,
C129566217,9,0.15,42,,,,
C1295945354,12,0.15,42,,,,
C1296664552,12,0.15,5,,,,
C1297100897,15,0.15,5,,,,
C1297329735,9,0.15,44,,,,
C1297358265,9,0.15,5,,,,
C1297995542,5,0.15,43,,,,
C1298891864,11,0.15,5,,,,
C1299279378,17,0.15,42,,,,
C1299368401,13,0.15,40,,,,
C1299474405,4,0.15,9,,,,
C1299496226,9,0.15,42,,,,
C1299745394,9,0.15,3,,,,
C130295904,9,0.15,5,,,,
C1303226190,9,0.15,42,,,,
C1303555047,12,0.15,43,,,,
C1303695653,13,0.15,42,,,,
C1303935849,11,0.15,44,,,,
C1304285526,12,0.15,42,,,,
C1304286493,9,0.15,5,,,,
C1304555023,14,0.15,40,,,,
C1304621872,8,0.15,42,,,,
C1305161735,17,0.15,41,,,,
C1305339250,13,0.15,42,,,,
C1306889886,10,0.15,42,,,,
C1307336396,16,0.15,41,,,,
C1307916597,14,0.15,40,,,,
C1308910127,16,0.15,44,,,,
C1309027409,8,0.15,5,,,,
C1309194397,11,0.15,5,,,,
C1309403692,13,0.15,42,,,,
C130979586,6,0.15,7,,,,
C13098029,11,0.15,5,,,,
C1311947724,13,0.15,44,,,,
C131200254,8,0.15,5,,,,
C1312448128,9,0.15,42,,,,
C1312615175,25,0.15,41,,,,
C131296547,9,0.15,44,,,,
C1313060996,13,0.15,43,,,,
C1314174420,10,0.15,44,,,,
C131423135,11,0.15,42,,,,
C1314533733,11,0.15,43,,,,
C1314685160,11,0.15,42,,,,
C1315400589,8,0.15,42,,,,
C131559770,8,0.15,5,,,,
C1316160034,13,0.15,42,,,,
C1316262830,13,0.15,42,,,,
C131682780,8,0.15,5,,,,
C1316936887,8,0.15,7,,,,
C1317710133,18,0.15,43,,,,
C1318366224,10,0.15,42,,,,
C131915922,13,0.15,43,,,,
C1319350044,10,0.15,5,,,,
C1320066686,11,0.15,42,,,,
C1320820565,6,0.15,44,,,,
C1321173882,20,0.15,42,,,,
C1321650743,14,0.15,43,,,,
C1321889892,12,0.15,5,,,,
C132320296,15,0.15,38,,,,
C132392875,8,0.15,42,,,,
C1324001180,14,0.15,5,,,,
C132520837,14,0.15,42,,,,
C1325422547,12,0.15,5,,,,
C1325638360,5,0.15,15,,,,
C1326593353,13,0.15,44,,,,
C1326829513,8,0.15,3,,,,
C1327124397,12,0.15,43,,,,
C1327677398,16,0.15,42,,,,
C1329920992,15,0.15,42,,,,
C1331123896,12,0.15,5,,,,
C1331907286,8,0.15,43,,,,
C1332125345,13,0.15,43,,,,
C1332295774,15,0.15,5,,,,
C1333401746,19,0.15,5,,,,
C1333537680,11,0.15,42,,,,
C1333661820,11,0.15,43,,,,
C133401060,11,0.15,40,,,,
C1334045764,13,0.15,44,,,,
C1334227305,16,0.15,41,,,,
C133432771,9,0.15,42,,,,
C1334695551,10,0.15,3,,,,
C1335108214,10,0.15,5,,,,
C1336232196,9,0.15,5,,,,
C1337135199,5,0.15,6,,,,
C133764711,13,0.15,5,,,,
C1337923906,11,0.15,40,,,,
C1337948674,9,0.15,7,,,,
C1338020899,10,0.15,44,,,,
C1338125837,13,0.15,41,,,,
C1338396147,20,0.15,43,,,,
C1338572942,8,0.15,7,,,,
C1338727022,13,0.15,40,,,,
C1338932459,14,0.15,5,,,,
C1339724832,12,0.15,5,,,,
